Vivado Simulator 2020.1
Time resolution is 1 ps
SIM START
PC=00000000 | OPCODE=0010011 | ALU=00000000 | MEMWR=0 | LEDWR=0 | LED= x
PC=00000000 | OPCODE=0010011 | ALU=00000000 | MEMWR=0 | LEDWR=0 | LED= 0
PC=00000000 | OPCODE=0010011 | ALU=00000000 | MEMWR=0 | LEDWR=0 | LED= 0
PC=00000004 | OPCODE=0010011 | ALU=00000000 | MEMWR=0 | LEDWR=0 | LED= 0
PC=00000008 | OPCODE=0010011 | ALU=00000005 | MEMWR=0 | LEDWR=0 | LED= 0
PC=0000000c | OPCODE=0110011 | ALU=00000000 | MEMWR=0 | LEDWR=0 | LED= 0
PC=00000010 | OPCODE=1101111 | ALU=00000000 | MEMWR=0 | LEDWR=0 | LED= 0
PC=00000048 | OPCODE=0000011 | ALU=00000008 | MEMWR=0 | LEDWR=0 | LED= 0
PC=0000004c | OPCODE=0010011 | ALU=ffffffff | MEMWR=0 | LEDWR=0 | LED= 0
PC=00000050 | OPCODE=1101111 | ALU=00000000 | MEMWR=0 | LEDWR=0 | LED= 0
PC=fff0102e | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxX | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
PC=xxxxxxxx | OPCODE=xxxxxxx | ALU=xxxxxxxx | MEMWR=0 | LEDWR=0 | LED= 0
